epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,599.793,0.57976,0.89981,0.73773,1.01169,0,0.74179,0.77748,0.82992,0.72613,0.73886,0.77452,0.82373,0.68321,0.56996,0.80395,0.87274,0.87265,0,0.000416438,0.000416438,0.000416438
2,1194.75,0.63021,0.99102,0.77773,1.03556,0,0.69758,0.80524,0.80221,0.6854,0.69411,0.80162,0.79499,0.64781,0.62678,0.83927,0.95911,0.90615,0,0.000816609,0.000816609,0.000816609
3,1789.84,0.67231,1.05477,0.82944,1.06144,0,0.73063,0.77703,0.80814,0.69165,0.72795,0.77398,0.80111,0.65062,0.62134,0.8402,0.87009,0.90466,0,0.00120028,0.00120028,0.00120028
4,2393.31,0.67232,1.05881,0.81844,1.06066,0,0.7137,0.78815,0.81001,0.69479,0.71077,0.78367,0.80324,0.66343,0.61958,0.80849,0.86002,0.90867,0,0.00117575,0.00117575,0.00117575
5,2981.19,0.65626,1.01027,0.80259,1.0482,0,0.7328,0.77274,0.81855,0.70975,0.7308,0.76737,0.809,0.66601,0.59811,0.82483,0.88394,0.88766,0,0.001151,0.001151,0.001151
6,3568.99,0.63951,0.97989,0.76615,1.03692,0,0.7301,0.81696,0.82991,0.71745,0.72604,0.81475,0.82193,0.68207,0.60185,0.79822,0.82432,0.8977,0,0.00112625,0.00112625,0.00112625
7,4157.09,0.62168,0.95447,0.75096,1.02721,0,0.73719,0.81704,0.84256,0.73353,0.73417,0.80996,0.83417,0.69129,0.58764,0.77873,0.78314,0.87477,0,0.0011015,0.0011015,0.0011015
8,4746.15,0.61201,0.92323,0.72849,1.01975,0,0.71818,0.82691,0.8395,0.7334,0.71622,0.82429,0.83356,0.69134,0.56801,0.74023,0.79132,0.86484,0,0.00107675,0.00107675,0.00107675
9,5336.41,0.59937,0.91465,0.70786,1.0087,0,0.73898,0.84179,0.85972,0.75593,0.73647,0.83904,0.85303,0.71317,0.55155,0.76762,0.75159,0.85285,0,0.001052,0.001052,0.001052
10,5925.08,0.59097,0.89017,0.70029,1.00778,0,0.76765,0.81928,0.86406,0.75965,0.76501,0.81617,0.85553,0.71384,0.54952,0.74157,0.70573,0.85736,0,0.00102725,0.00102725,0.00102725
